,Type,Word,Count
0,.,!,1596
1,.,',317
2,.,'',8789
3,.,(,2425
4,.,),2456
5,.,",",58333
6,.,--,3431
7,.,.,49346
8,.,:,1773
9,.,;,5566
10,.,?,4692
11,.,[,2
12,.,],2
13,.,``,8837
14,ADJ,'48,1
15,ADJ,'nough,1
16,ADJ,1/20th,1
17,ADJ,1/50th,1
18,ADJ,10-day,1
19,ADJ,10-foot,1
20,ADJ,10-gallon,1
21,ADJ,10-hour,1
22,ADJ,10-milligram,1
23,ADJ,10-team,1
24,ADJ,10-year,9
25,ADJ,10-year-old,3
26,ADJ,10-yr.,1
27,ADJ,100-brick,1
28,ADJ,100-megaton,1
29,ADJ,100-million-lb.,1
30,ADJ,100-ton,1
31,ADJ,100-yard,2
32,ADJ,10th,1
33,ADJ,11-inch,1
34,ADJ,11-month-old,1
35,ADJ,11-shot,1
36,ADJ,11-year,1
37,ADJ,11-year-old,2
38,ADJ,11th,3
39,ADJ,12-1/2-inch,2
40,ADJ,12-inch,1
41,ADJ,12-month,1
42,ADJ,12-oz.,1
43,ADJ,12-passenger,1
44,ADJ,12-shot,1
45,ADJ,12-year-old,1
46,ADJ,1200-square-foot,1
47,ADJ,125th,1
48,ADJ,127-mile,1
49,ADJ,12th,1
50,ADJ,13/16-inch,2
51,ADJ,130-year,1
52,ADJ,139-foot,1
53,ADJ,13th,6
54,ADJ,14-power,1
55,ADJ,14-term,1
56,ADJ,145-pound,1
57,ADJ,14th,4
58,ADJ,15-degree,1
59,ADJ,15-hit,1
60,ADJ,15-to-one,1
61,ADJ,15-year-old,1
62,ADJ,150-milliampere,1
63,ADJ,15th,14
64,ADJ,16-hour,1
65,ADJ,16-mesh,1
66,ADJ,16-page,1
67,ADJ,16-year-old,1
68,ADJ,160-ml.,1
69,ADJ,162-game,1
70,ADJ,165-unit,1
71,ADJ,16th,5
72,ADJ,17-1/2-inch,1
73,ADJ,172nd,1
74,ADJ,17th,10
75,ADJ,18-1/2-inch,1
76,ADJ,18-month,1
77,ADJ,1800-square-foot,1
78,ADJ,185th,1
79,ADJ,187-mile,1
80,ADJ,18th,9
81,ADJ,19-foot,1
82,ADJ,195-page,1
83,ADJ,19th,8
84,ADJ,1M,1
85,ADJ,2-hour-and-27-minute,1
86,ADJ,2-inch,1
87,ADJ,2-liter,2
88,ADJ,2-over-par,1
89,ADJ,2-run,2
90,ADJ,2-score-year,1
91,ADJ,2-week,1
92,ADJ,2-year-old,3
