,start_type,end_type
0,ADV,.
1,ADP,.
2,ADJ,NOUN
3,ADV,.
4,ADV,.
5,PRT,.
6,DET,.
7,PRON,.
8,DET,.
9,DET,.
10,NOUN,.
11,NOUN,.
12,NOUN,.
13,ADP,.
14,NOUN,.
15,NOUN,.
16,NOUN,.
17,PRON,.
18,PRON,.
19,DET,.
20,DET,.
21,ADV,.
22,DET,.
23,NOUN,.
24,CONJ,.
25,PRT,.
26,PRON,.
27,NOUN,NUM
28,DET,.
29,ADP,.
30,CONJ,.
31,DET,.
32,ADJ,.
33,NOUN,.
34,DET,.
35,ADJ,.
36,DET,NOUN
37,NOUN,.
38,ADP,.
39,PRON,.
40,CONJ,.
41,DET,.
42,DET,.
43,PRON,.
44,PRON,.
45,CONJ,.
46,.,.
47,CONJ,.
48,.,.
49,PRT,.
50,NOUN,.
51,NOUN,.
52,.,.
53,DET,.
54,ADV,.
55,DET,.
56,NOUN,.
57,DET,.
58,DET,.
59,ADP,.
60,DET,.
61,DET,.
62,NOUN,.
63,PRON,.
64,PRON,.
65,PRT,.
66,NOUN,NOUN
67,ADP,.
68,ADV,.
69,ADP,.
70,DET,.
71,CONJ,.
72,NUM,.
73,.,.
74,NOUN,.
75,DET,.
76,NUM,.
77,PRT,.
78,NOUN,.
79,PRON,.
80,DET,.
81,DET,.
82,DET,.
83,ADP,.
84,DET,.
85,PRT,.
86,PRT,.
87,PRT,.
88,PRON,.
89,DET,.
90,.,.
91,NUM,.
92,ADV,.
93,NOUN,NOUN
94,DET,.
95,.,.
96,PRON,.
97,PRON,.
98,ADV,.
99,ADV,.
100,ADV,.
101,.,.
102,DET,.
103,ADJ,.
104,DET,.
105,VERB,VERB
106,DET,.
107,ADP,.
108,PRON,.
109,PRON,.
110,PRON,.
111,DET,.
112,NUM,.
113,NOUN,.
114,PRT,.
115,PRON,.
116,NOUN,.
117,ADV,.
118,DET,.
119,DET,.
120,.,.
121,DET,.
122,CONJ,.
123,DET,.
124,PRON,.
125,NOUN,.
126,ADP,.
127,ADP,.
128,NOUN,.
129,PRON,.
130,PRON,.
131,CONJ,.
132,ADV,.
133,ADV,.
134,DET,.
135,.,.
136,ADP,.
137,ADP,.
138,NOUN,.
139,ADP,.
140,PRON,.
141,PRT,.
142,DET,.
143,PRON,.
144,ADP,.
145,ADP,.
146,NOUN,.
147,PRON,.
148,PRT,.
149,NOUN,.
150,PRON,.
151,DET,.
152,X,.
153,PRON,.
154,NOUN,.
155,NOUN,.
156,ADJ,.
157,ADP,.
158,PRON,.
159,ADV,.
160,DET,.
161,PRON,.
162,CONJ,.
163,DET,.
164,NOUN,.
165,PRON,.
166,DET,.
167,ADJ,NOUN
168,NOUN,.
169,ADV,.
170,NOUN,NOUN
171,ADP,.
172,VERB,.
173,PRON,.
174,.,.
175,ADP,.
176,ADP,.
177,PRT,.
178,NOUN,.
179,VERB,.
180,VERB,.
181,NOUN,.
182,ADP,.
183,ADP,.
184,NOUN,ADJ
185,DET,.
186,CONJ,.
187,PRON,.
188,CONJ,.
189,PRT,.
190,DET,.
191,NOUN,.
192,DET,.
193,PRON,.
194,ADP,.
195,PRON,.
196,ADP,.
197,NOUN,NOUN
198,NOUN,.
199,NOUN,.
200,PRON,.
201,PRON,.
202,ADP,.
203,DET,.
204,DET,.
205,PRON,.
206,.,.
207,DET,.
208,NOUN,.
209,ADV,.
210,PRON,.
211,PRON,.
212,NOUN,.
213,DET,.
214,NOUN,.
215,DET,.
216,ADP,.
217,ADJ,.
218,DET,.
219,ADP,.
220,.,.
221,NUM,NOUN
222,ADP,.
223,DET,.
224,ADP,.
225,PRON,.
226,ADP,.
227,.,.
228,ADP,.
229,DET,.
230,ADP,.
231,NOUN,.
232,ADP,.
233,DET,.
234,CONJ,.
235,DET,.
236,DET,.
237,NOUN,.
238,PRON,.
239,CONJ,.
240,.,.
241,.,.
242,PRT,.
243,NUM,.
244,DET,.
245,NUM,.
246,PRON,.
247,DET,.
248,PRON,.
249,ADJ,.
250,DET,.
251,DET,.
252,NOUN,.
253,ADP,.
254,DET,.
255,PRT,.
256,PRON,.
257,NOUN,.
258,DET,.
