,Type,Word,Count
0,.,!,1300
1,.,',246
2,.,'',7004
3,.,(,1923
4,.,),1949
5,.,",",46499
6,.,--,2739
7,.,.,39500
8,.,:,1410
9,.,;,4418
10,.,?,3732
11,.,[,2
12,.,],2
13,.,``,7033
14,ADJ,'nough,1
15,ADJ,1/20th,1
16,ADJ,1/50th,1
17,ADJ,10-day,1
18,ADJ,10-foot,1
19,ADJ,10-gallon,1
20,ADJ,10-hour,1
21,ADJ,10-milligram,1
22,ADJ,10-team,1
23,ADJ,10-year,9
24,ADJ,10-year-old,2
25,ADJ,10-yr.,1
26,ADJ,100-brick,1
27,ADJ,100-megaton,1
28,ADJ,100-million-lb.,1
29,ADJ,100-ton,1
30,ADJ,100-yard,2
31,ADJ,10th,1
32,ADJ,11-month-old,1
33,ADJ,11-shot,1
34,ADJ,11-year,1
35,ADJ,11-year-old,1
36,ADJ,11th,2
37,ADJ,12-1/2-inch,1
38,ADJ,12-inch,1
39,ADJ,12-month,1
40,ADJ,12-oz.,1
41,ADJ,12-passenger,1
42,ADJ,12-shot,1
43,ADJ,12-year-old,1
44,ADJ,1200-square-foot,1
45,ADJ,125th,1
46,ADJ,13/16-inch,1
47,ADJ,130-year,1
48,ADJ,139-foot,1
49,ADJ,13th,5
50,ADJ,14-power,1
51,ADJ,145-pound,1
52,ADJ,14th,3
53,ADJ,15-degree,1
54,ADJ,15-hit,1
55,ADJ,15-to-one,1
56,ADJ,15-year-old,1
57,ADJ,150-milliampere,1
58,ADJ,15th,11
59,ADJ,16-mesh,1
60,ADJ,16-page,1
61,ADJ,16-year-old,1
62,ADJ,160-ml.,1
63,ADJ,162-game,1
64,ADJ,16th,3
65,ADJ,17-1/2-inch,1
66,ADJ,172nd,1
67,ADJ,17th,9
68,ADJ,18-month,1
69,ADJ,1800-square-foot,1
70,ADJ,185th,1
71,ADJ,18th,4
72,ADJ,19-foot,1
73,ADJ,19th,6
74,ADJ,2-hour-and-27-minute,1
75,ADJ,2-inch,1
76,ADJ,2-liter,2
77,ADJ,2-run,2
78,ADJ,2-score-year,1
79,ADJ,2-week,1
80,ADJ,2-year-old,2
81,ADJ,20-year-old,2
82,ADJ,200-megaton,1
83,ADJ,205-pound,1
84,ADJ,208-pound,1
85,ADJ,20th,8
86,ADJ,21-inch,1
87,ADJ,21-year,1
88,ADJ,21-year-old,1
89,ADJ,21st,2
90,ADJ,22-acre,1
91,ADJ,22-day,1
92,ADJ,22-year-old,1
93,ADJ,220-yard,1
94,ADJ,22nd,1
95,ADJ,23d,5
96,ADJ,23rd,2
97,ADJ,24-hour,1
98,ADJ,24-hr.,7
99,ADJ,24-in.,1
100,ADJ,24-inch,1
101,ADJ,24-sheet,1
102,ADJ,240-grain,1
103,ADJ,24th,6
104,ADJ,"25,000-man",1
105,ADJ,25-ft.,1
106,ADJ,25-gallon,1
107,ADJ,25-liter,1
108,ADJ,25-mile-square,1
109,ADJ,25-minute,1
110,ADJ,25-year-old,1
111,ADJ,25th,2
112,ADJ,26-year-old,1
113,ADJ,260-member,1
114,ADJ,26th,2
115,ADJ,27th,1
116,ADJ,28th,5
117,ADJ,29th,4
118,ADJ,2d,1
119,ADJ,2nd,3
120,ADJ,3,2
121,ADJ,"3,000-foot",1
122,ADJ,3-foot,1
123,ADJ,3-inch,1
124,ADJ,3-month,1
125,ADJ,3-year-old,1
126,ADJ,3/8-inch-thick,1
127,ADJ,30-inch,1
128,ADJ,30-minute,1
129,ADJ,30-piece,1
130,ADJ,30-year,1
131,ADJ,300th,1
132,ADJ,30th,4
133,ADJ,31st,1
134,ADJ,33-man,1
135,ADJ,33d,1
136,ADJ,34-hour,1
137,ADJ,35-mm.-wide,1
138,ADJ,350th,1
139,ADJ,36th,1
140,ADJ,37-year-old,1
141,ADJ,37th,1
142,ADJ,38-point,1
143,ADJ,380-foot,1
144,ADJ,39-year-old,1
145,ADJ,390-foot,1
146,ADJ,3rd,4
147,ADJ,4-cell,1
148,ADJ,4-day,2
149,ADJ,4-homer,1
150,ADJ,4-inch,3
151,ADJ,4-month,1
152,ADJ,4-passenger,1
153,ADJ,4-under-par,1
154,ADJ,4-year,1
155,ADJ,40-grain,1
